R,C,M,N,K,cycles,active_pes,total_pes,spatial_util,measured_macs_per_cycle,cycles_model,n_tiles
32,32,1,256,32,751,32,1024,0.03125,10.9081,751,8
32,32,2,256,32,751,64,1024,0.0625,21.8162,751,8
32,32,4,256,32,751,128,1024,0.125,43.6325,751,8
32,32,8,256,32,751,256,1024,0.25,87.265,751,8
32,32,16,256,32,751,512,1024,0.5,174.53,751,8
32,32,32,256,32,751,1024,1024,1.0,349.0599,751,8
16,64,1,256,32,439,64,1024,0.0625,18.6606,439,4
16,64,2,256,32,439,128,1024,0.125,37.3212,439,4
16,64,4,256,32,439,256,1024,0.25,74.6424,439,4
16,64,8,256,32,439,512,1024,0.5,149.2847,439,4
16,64,16,256,32,439,1024,1024,1.0,298.5695,439,4
16,64,32,256,32,879,1024,1024,1.0,298.2298,879,8
8,128,1,256,32,331,128,1024,0.125,24.7492,331,2
8,128,2,256,32,331,256,1024,0.25,49.4985,331,2
8,128,4,256,32,331,512,1024,0.5,98.997,331,2
8,128,8,256,32,331,1024,1024,1.0,197.994,331,2
8,128,16,256,32,663,1024,1024,1.0,197.6953,663,4
8,128,32,256,32,1327,1024,1024,1.0,197.5463,1327,8
4,256,1,256,32,289,256,1024,0.25,28.346,289,1
4,256,2,256,32,289,512,1024,0.5,56.692,289,1
4,256,4,256,32,289,1024,1024,1.0,113.3841,289,1
4,256,8,256,32,579,1024,1024,1.0,113.1883,579,2
4,256,16,256,32,1159,1024,1024,1.0,113.0906,1159,4
4,256,32,256,32,2319,1024,1024,1.0,113.0418,2319,8
